Network,Program,Season,Campaign Type,Campaign Custom,Start Year,Start Month,Start Day,End Year,End Month,End Day,Campaign ID,Agency,Publisher,Buy Method,Inventory Type,Package Custom,Package ID,Episode Start,Episode End,Tentpole Details,Tactic,Device,Ad Type,Targeting Type 1,Targeting Type 2,Targeting Type 3,Targeting Type 4,Audience Type,Width,Height,Placement ID,Creative Group,Ad Custom,Ad ID,Creative Network,Creative Program,Creative Season,Creative Message,Creative Theme Custom,Creative Version Number,A/B Test Label,Video Length,Creative Start Month,Creative Start Day,Creative End Month,Creative End Day,Creative Id,Omniture Code
Content Distribution,Mockingbird,N/A,Awareness,-,2017,03,31,2017,04,27,CDI_MKBD_X_AW_-_20170331-20170427,ASG,Google Search,Dynamic CPM,Run of Site,-,CDI_MKBD_X_ASG_GSRC_DCI_ROS_-,,,X,Search,Desktop/Mobile/Tablet,Text Link,None,None,None,None,X,1,1,CDI_MKBD_X_X_ASG_SRC_DMT_GSRC_DCI_TXT_ROS_XX-XX-XX-XX_X_1x1_0331-0427,Always On,X,CDI_MKBD_X_AON_GSRC_1x1_X,Nickelodeon,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,,02,03,03,03,CDI_MKBD_X_AON_MC_X_01_XX_1x1_0203-0303,/?xrs=crm_CDI_MKBD_X_GSRC
CMT,I Love Kellie Pickler,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,Facebook,Dynamic CPV (Cost per View),Run of Exchange,-,CMT_ILKP_X_ASG_FCBK_DVW_ROE_-,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,CMT_ILKP_X_X_ASG_DIS_DMT_FCBK_DVW_NSV_ROE_XX-XX-XX-XX_-_X_0401-0630,Always On,x,CMT_ILKP_X_AON_FCBK_X_x,Nickelodeon,N/A,N/A,Now,PrePhase1,01,Not Applicable,15s,02,03,03,03,CMT_ILKP_X_AON_NW_PrePhase1_01_XX_15s_0203-0303,/?xrs=crm_CMT_ILKP_X_FCBK
Nickelodeon,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,Facebook,Dynamic CPV (Cost per View),Run of Exchange,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,Always On,x,,Nickelodeon,N/A,N/A,Tonight,PrePhase1,01,Not Applicable,15s,02,03,03,03,,
Nickelodeon,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,Instagram,Dynamic CPV (Cost per View),Run of Exchange,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,100,140,,Always On,x,,Nickelodeon,Loud House,N/A,Coming Soon,PrePhase1,01,Not Applicable,15s,02,03,03,03,,
Nick Jr,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,NKJ_NEVD_X_TI_Q2-17_20170401-20170630,ASG,Instagram,Dynamic CPV (Cost per View),Run of Exchange,-,NKJ_NEVD_X_ASG_INGM_DVW_ROE_-,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,NKJ_NEVD_X_X_ASG_DIS_DMT_INGM_DVW_NSV_ROE_XX-XX-XX-XX_-_X_0401-0630,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,/?xid=crm_NKJ_NEVD_X_INGM
Comedy Central,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,CCL_NEVD_X_TI_Q2-17_20170401-20170630,ASG,Roblox,CPM,Run of Site,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,
Spike,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,SPK_NEVD_X_TI_Q2-17_20170401-20170630,ASG,Roblox,CPM,Run of Site,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,
Logo,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,LGO_NEVD_X_TI_Q2-17_20170401-20170630,ASG,Vungle,CPM,Run of Site,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,
TV Land,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,TVL_NEVD_X_TI_Q2-17_20170401-20170630,ASG,Mediabrix,CPM,Run of Site,-,TVL_NEVD_X_ASG_MDBX_CPM_ROS_-,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,TVL_NEVD_X_X_ASG_DIS_DMT_MDBX_CPM_NSV_ROS_XX-XX-XX-XX_-_X_0401-0630,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,/?xrs=crm_TVL_NEVD_X_MDBX
Paramount,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,EA Games,CPM,Run of Site,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,
Nickelodeon,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,EA Games,CPM,Run of Site,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,,,,Nickelodeon,N/A,N/A,Coming Soon,,01,Not Applicable,15s,02,03,03,03,,
Nickelodeon,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,Super Awesome,CPM,Run of Site,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,
Nickelodeon,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,FEN (Poptropica/FunBrain),CPM,Run of Site,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,
Nickelodeon,Nick Everyday,N/A,Tune-In,Q2-17,2017,05,01,2017,06,30,,ASG,CW,CPM,Run of Site,X,,,,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Contextual,None,None,None,-,1,1,,Always On,X,,Nickelodeon,Game Shakers,N/A,Now,X,01,Not Applicable,15s,05,01,06,30,,
Logo,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,LGO_NEVD_X_TI_Q2-17_20170401-20170630,ASG,Playwire,CPM,Run of Site,-,LGO_NEVD_X_ASG_PLWR_CPM_ROS_-,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,LGO_NEVD_X_X_ASG_DIS_DMT_PLWR_CPM_NSV_ROS_XX-XX-XX-XX_-_X_0401-0630,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,/?xrs=crm_LGO_NEVD_X_PLWR
Nickelodeon,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,Playwire,CPM,Run of Site,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,,,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,
Nickelodeon,Nick Everyday,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,Playwire,CPM,Run of Site,-,,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,,,,,Nickelodeon,N/A,N/A,Saturday,,01,Not Applicable,15s,02,03,03,03,,
MTV,Bellator,N/A,Tune-In,172,2017,02,12,2017,02,18,MTV_BLTR_X_TI_172_20170212-20170218,ASG,Facebook,CPM,Run of Site,X,MTV_BLTR_X_ASG_FCBK_CPM_ROS_X,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,MTV_BLTR_X_X_ASG_DIS_DMT_FCBK_CPM_NSV_ROS_XX-XX-XX-XX_-_X_0212-0218,Always On,X,MTV_BLTR_X_AON_FCBK_X_X,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,/?xrs=crm_MTV_BLTR_X_FCBK
BET,BET Presents: Love & Happiness an Obama Celebration,S05,Tune-In,X,2017,02,05,2017,09,12,BET_LHOC_S05_TI_X_20170205-20170912,ASG,AdWords,CPC,Run of Site,X,,E05,E03,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,300,250,,Consumer Product,X,,Nickelodeon,N/A,N/A,Now,,01,Not Applicable,15s,02,03,03,03,,
MTV,Movie Awards,Tentpole,Tune-In,X,2017,04,24,2017,05,07,MTV_MVAD_TPL_TI_X_20170424-20170507,ASG,Facebook,Dynamic CPM,Run of Site,X,MTV_MVAD_TPL_ASG_FCBK_DCI_ROS_X,,,Awards,Social,Desktop,Non-Skippable Video,Behavioral,Day Parting,None,None,X,,,MTV_MVAD_TPL_Awards_ASG_SOC_DXX_FCBK_DCI_NSV_ROS_BT-DP-XX-XX_X_X_0424-0507,Pre-Premiere,X,MTV_MVAD_TPL_PPR_FCBK_X_X,Nickelodeon,N/A,N/A,Sunday,,01,Not Applicable,15s,04,24,04,27,,/?xrs=crm_MTV_MVAD_TPL_FCBK
CMT,Nashville,S05,Tune-In,Videology,2017,05,04,2017,05,07,CMT_NASH_S05_TI_Videology_20170504-20170507,ASG,,,,,,,,,,,,,,,,,,,,,,,Nickelodeon,N/A,N/A,,,,,,,,,,,
MTV,Catfish,S06,Tune-In,Nielsen,2017,,,2017,,,,ASG,,,,,,,,,,,,,,,,,,,,,,,Nickelodeon,N/A,N/A,,,,,,,,,,,
CMT,,,,,2017,,,2017,,,,ASG,,,,,,,,,,,,,,,,,,,,,,,Nickelodeon,Rusty Rivets,S13,,,,,,,,,,,
Comedy Central,,,,,2017,,,2017,,,,ASG,,,,,,,,,,,,,,,,,,,,,,,Nickelodeon,N/A,N/A,,,,,,,,,,,
MTV,Teen Mom OG,S6B,Tune-In,X,2017,04,14,2017,05,01,MTV_TMOG_S6B_TI_X_20170414-20170501,ASG,DBM,Dynamic CPM,Run of Exchange,X,MTV_TMOG_S6B_ASG_GDBM_DCI_ROE_X,E01,E03,X,Display Banner,Desktop/Mobile/Tablet,Static Image,Behavioral,None,None,None,X,300,250,MTV_TMOG_S6B_E01-E03_ASG_DIS_DMT_GDBM_DCI_IMG_ROE_BT-XX-XX-XX_X_300x250_0414-0501,Sustaining,X,MTV_TMOG_S6B_SUS_GDBM_300x250_X,Nickelodeon,N/A,N/A,Tonight,X,01,Not Applicable,,04,14,04,16,MTV_TMOG_S6B_SUS_TN_X_01_XX_300x250_0414-0416,/?xrs=crm_MTV_TMOG_S6B_GDBM
