id,name,abbrev,created_at,updated_at
74,BET,BET,2018-03-19 03:44:35 UTC,2018-03-19 03:44:35 UTC
75,BET Her,BTH,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
76,Centric,CTC,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
77,CMT,CMT,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
78,Comedy Central,CCL,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
79,Content Distribution,CDI,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
80,Logo,LGO,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
81,MTV,MTV,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
82,N/A,N/A,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
83,Nick Apps,NAP,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
84,Nick Consumer Marketing,NCM,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
85,Nick Franchise,NKF,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
86,Nick Jr,NKJ,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
87,Nick Live Events,NLE,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
88,Nick Partner Marketing ,NPM,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
89,Nick Publishing,NKP,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
90,Nick Retail,NKR,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
91,Paramount Network,PMN,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
92,Paramount Pictures,PRM,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
93,Rate My Professor ,RMP,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
94,Spike,SPK,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
95,TV Land,TVL,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
96,Velocity,VCT,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
97,VH1,VH1,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
98,Viacom,VIA,2018-03-19 03:44:36 UTC,2018-03-19 03:44:36 UTC
