Network,Net_Abbrev,Program,Program_abbrev,DATE ADDED,ADDED BY,
BET,BET,N/A,XXXX,3/31/2017,,
MTV,MTV,N/A,XXXX,5/10/2017,TA,
N/A,,N/A,,4/11/2017,TA,
Nick Consumer Marketing,NCM,Hey Arnold,HYAD,7/20/2017,TA,
Nick Publishing,NKP,Hey Arnold,HYAD,7/20/2017,TA,
Nick Jr,NKJ,Ad Hoc,ADHC,7/26/2017,JB,
Nick Partner Marketing ,NPM,Ad Hoc,ADHC,8/10/2017,MW,
Nick Publishing,NKP,Ad Hoc,ADHC,8/9/2017,MW,
Nick Retail,NKR,Ad Hoc,ADHC,7/20/2017,TA,
BET,BET,Application,APPL,3/31/2017,,
MTV,MTV,Application,APPL,3/31/2017,,
Comedy Central,CCL,Comedy Jam,TCOJ,4/21/2017,JB,
Comedy Central,CCL,The Comedy Jam,TCOJ,3/31/2017,,
Content Distribution,CDI,Drunk History,DKHT,3/31/2017,,
Comedy Central,CCL,Drunk History,DKHT,3/31/2017,,
