Network,Network_Abbrev,Program,Program_abbrev,DATE ADDED,ADDED BY,
BET,BET,50 Central,50CT,9/19/2017,MW,
BET,BET,Alicia Here in Time Square,AHTQ,4/14/2017,JB,
BET,BET,Application,APPL,3/31/2017,,
BET,BET,BET Awards,BETA,6/20/2017,JB,
BET,BET,BET Experience,BETX,4/14/2017,JB,
BET,BET,BET Presents: Love & Happiness an Obama Celebration,LHOC,3/31/2017,,
BET,BET,Black Card Revoked,BLCR,12/19/2017,MW,
BET,BET,Breaks,BRAK,11/1/2017,MW,
BET,BET,Brooklyn Blue Sky,BYBS,11/21/2017,MW,
BET,BET,Death Row Chronicles,DRCH,1/24/2018,MW,
BET,BET,Face Value ,FCVL,9/19/2017,MW,
BET,BET,How to Rock: Denim,HTRD,3/31/2017,,
BET,BET,Janet Jackson Sweepstakes,JJSW,9/14/2017,MW,
BET,BET,Man Cave,MCAV,12/19/2017,MW,
BET,BET,N/A,XXXX,3/31/2017,,
BET,BET,Rebel,REBL,3/24/2017,TL,
BET,BET,Social Awards,SCAW,2/5/2018,MW,
BET,BET,State of the Union Special,SOFU,1/26/2018,MW,
BET,BET,Super Bowl Gospel Celebration ,SBGC,1/26/2018,MW,
BET,BET,The RunDown with Robin Thede,RDRT,1/17/2018,MW,
BET,BET,The Comedy Get Down,TCGD,9/19/2017,MW,
BET,BET,The Quad,QUAD,4/21/2017,JB,
BET Her,BTH,From the Bottom Up,FTBU,2/13/2018,JB,
Centric,CTC,We Are The Joneses,WATJ,4/19/2017,JB,
CMT,CMT,Dallas Cowboy Cheerleaders,DLCC,3/31/2017,,
CMT,CMT,I Love Kellie Pickler,ILKP,3/31/2017,,
CMT,CMT,Music City ,MCCY,1/9/2018,MW,
CMT,CMT,Nashville,NASH,3/31/2017,,
CMT,CMT,Still the King,TLKG,4/21/2017,JB,
Comedy Central,CCL,Another Period,ARPD,4/14/2017,JB,
Comedy Central,CCL,Anthony DeVito,ATDV,9/22/2017,MW,
Comedy Central,CCL,Bonfire Radio Show,BFRS,7/31/2017,MW,
Comedy Central,CCL,Broad City,BDCY,3/31/2017,,
Comedy Central,CCL,Clusterfest,CLTF,4/14/2017,JB,
Comedy Central,CCL,Comedy Central Axe,AXCC,4/14/2017,JB,
Comedy Central,CCL,Comedy Jam,TCOJ,4/21/2017,JB,
Comedy Central,CCL,Corporate,CORP,12/5/2017,MW,
Comedy Central,CCL,Detroiters,DTRS,4/14/2017,JB,
Comedy Central,CCL,Drunk History,DKHT,3/31/2017,,
Comedy Central,CCL,Drunk History/Another Period,DHAP,1/9/2018,MW,
Comedy Central,CCL,Gaffigan,GFGN,4/14/2017,JB,
Comedy Central,CCL,God Damn Comedy Jam,GDCJ,4/14/2017,JB,
Comedy Central,CCL,Hood Adjacent with James Davis,HAJD,5/2/2017,JB,
Comedy Central,CCL,Idiotsitter,IDST,6/2/2017,JB,
Comedy Central,CCL,Inside Amy Schumer,INAS,4/21/2017,JB,
Comedy Central,CCL,Jeff & Some Aliens,JFSA,4/21/2017,JB,
Comedy Central,CCL,Jeff Ross Presents Roast Battle,JRRB,3/31/2017,,
Comedy Central,CCL,Jeff Ross Roasts Cops,JRRC,3/31/2017,,
Comedy Central,CCL,Jim Jefferies Show,JJFS,5/25/2017,JB,
Comedy Central,CCL,Josh Johnson,JOJH,9/22/2017,MW,
Comedy Central,CCL,Kevin Hart Presents: Hart of the City,KHCT,3/31/2017,,
Comedy Central,CCL,Kevin Hart: Let Me Explain,KHXN,5/2/2017,JB,
Comedy Central,CCL,Kevin Hart: Next Level,KHNL,6/2/2017,JB,
Comedy Central,CCL,Key and Peele,KNPL,4/21/2017,JB,
Comedy Central,CCL,Legends of Chamberlain Heights,LOCH,3/31/2017,,
Comedy Central,CCL,Mark Normand,MKND,7/7/2017,GK,
Comedy Central,CCL,Nathan For You,NAFY,9/12/2017,MW,
Comedy Central,CCL,Not Safe with Nikki Glaser,NSNG,4/21/2017,JB,
Comedy Central,CCL,Oh Hello,OHLL,3/31/2017,,
Comedy Central,CCL,Problematic,PBLM,3/28/2017,JB,
Comedy Central,CCL,Review,TRVW,4/21/2017,JB,
Comedy Central,CCL,Roast Battle 2,RSB2,4/21/2017,JB,
