PUBLISHER,PUB ABBR,DATE ADDED,WHO ADDED,FRIENDLY NAME,MANAGED OR SELF
ABC,ABCX,8/1/2017,MW,,
AdAge,ADAG,5/15/2017,SN,,
Adaptly,ADPY,7/18/2017,JB,,
Adobe,ADOB,11/27/2017,MW,,
Adult Swim,ADSW,4/20/2017,,,
Ad Theorent ,ADTH,1/11/2018,MW,,
AKI,AKIX,12/4/2017,MW,,
Altice,ALCE,9/19/2017,mw,,
Amazon,AMZN,2/27/2017,, ,
AMI Publishing,AMIP,11/13/2017,JB,,
Amobee,AMBE,12/5/2017,MW,,
Awesomeness TV,AWTV,12/21/2017,MW,,
Barstool Sports,BRSP,7/6/2017,GK,,
Battery Pop,BYPP,8/31/2017,MW,,
Berkleyside,BKSD,2/12/2018,JB,,Managed
Betches,BTCH,5/10/2017,JB,,
BHM Digital,BHMD,6/13/2017,JB,,
Blavity,BLVT,12/19/2017,MW,,
BrightRoll,BRRL,8/1/2016,,,
Bustle,BSLE,4/12/2017,,,
BuzzFeed,BZFD,2/21/2017,,,
CBS,CBSX,8/1/2017,MW,,
Clearstream,CLST,9/5/2017,MW,,
Clique,CLQE,6/12/2017,JB,,
Cluep,CLUE,9/5/2017,MW,,
Clusterfest App,CLAP,1/8/2018,TA,,
College Humor,COHR,8/15/2017,MW,,
Comcast,CMCT,10/20/2017,MW,,
Complex,CMPX,8/15/2017,MW,,
comScore,CMSC,10/25/2016,,,
Conde Nast,CDNT,10/17/2016,,,
Connected Car,CNCR,10/17/2017,mw,,
Cosmopolitan,CSMO,12/4/2017,,,
Crackle,CRKL,10/17/2017,MW,,
CW,TCWN,4/26/2017,JB,,
Cynopsis,CYPS,12/14/2017,MW,,
DailyMail.com,DYML,8/1/2017,MW,,
Drawbridge,DWBG,1/17/2018,MW,,
Gay Ad Network,GADN,1/11/2018,MW,,
Grindr,GRDR,1/17/2018,MW,,
DBM,GDBM,8/1/2016,,Programmatic,Self-Service
Deadline,DDLN,6/5/2017,JB,,
DirecTV,DRTV,5/24/2017,JB,,
Do LA,DOLA,2/12/2018,JB,,Managed
Do the Bay,DOTB,2/12/2018,JB,,Managed
EA Games,EAGM,3/24/2017,,,
East Bay Express,EBEX,2/21/2018,JB,,Managed
Elite Daily,ETDY,12/5/2017,MW,,
Entertainment Weekly,ETWY,3/22/2017,,,
ESPN,ESPN,9/6/2017,MW,,
Essence,ESSN,6/13/2017,JB,,
FabFitFun,FBFF,8/16/2017,MW,,
Facebook,FCBK,8/1/2016,,FB/IG,Self-Service
Fandom,FNDM,3/22/2017,,,
FEN (Poptropica/FunBrain),FENX,3/24/2017,,,
Flashtalking,FLTK,8/12/2016,,,
FMG,FMGX,12/5/2017,MW,,
FOX,FOXN,4/20/2017,,,
FreeForm,FEFM,8/1/2017,MW,,
FullScreen,FSCN,6/21/2017,JB,,Managed
Fun Cheap,FNCH,2/12/2018,JB,,Managed
Funny or Die,FNOD,1/10/2018,MW,,
FX,FXTV,4/20/2017,,,
Gemini,GMNI,8/1/2016,,,
Girl with No Job,GWNJ,11/13/2017,JB,,
Google Search,GSRC,4/12/2017,,,
GumGum,GMGM,11/22/2017,MW,,
Hollywood Reporter,HYWR,11/28/2017,MW,,
Huffington Post,HFPO,9/6/2017,MW,,
Hulu,HULU,8/23/2017,MW,,
IAS,IASX,10/27/2016,,,
iHeartRadio,IHTR,11/22/2016,,,
IMDb,IMDB,11/27/2017,MW,,
Instagram,INGM,8/1/2016,,,
Interactive One,INTO,11/14/2017,MW,,
Kargo,KRGO,5/15/2017,SN,,
KidInfluencer,KDNF,12/26/2017,GK,,
Kidoz,KIDZ,7/6/2017,SB,,
Latina,LATN,12/4/2017,MW,,
Laugh Out Loud,LOLD,10/2/2017,MW,,
MailChimp,MLCP,1/8/2018,TA,,
Match.com,MACH,9/12/2017,mw,,
Match Group,MTGP,12/21/2017,MW,,
Mediabrix,MDBX,3/28/2017,,,
Mediamath,MDMT,8/12/2016,,,
Mental Floss,MTFL,1/10/2018,MW,,
Musicl.ly,MSLY,7/26/2017,MW,,
Nativo,NTVO,8/1/2016,,,
